,company name,position,worktime,City
562,ENKAL FİLO ARAÇ KİRALAMA HİZMETLERİ ANONİM ŞİRKETİ,Motosiklet Satış Danışmanı,Tam zamanlı,İstanbul(Asya)
563,Sektöründe Lider Firma,Tedarik Planlama Uzmanı,Tam zamanlı,İstanbul(Asya)
564,BURAKCAN KALIP SANAYİ TİC.LTD.ŞTİ.,Dış Ticaret Uzmanı,Tam zamanlı,İstanbul(Avr.)
565,SERKAN İLETİŞİM TÜRK TELEKOM MAĞAZALARI,Bayi Satış Yetkilisi,Tam zamanlı,Konya
566,DORUK SAĞLIK GRUBU,Özel Doruk Nilüfer Hastanesi Restorant Elemanı,Tam zamanlı,Bursa
567,Pratik Aday Servisi,Proses Otomasyon Mühendisi,Tam zamanlı,İstanbul(Asya)
568,HTS TEKERLEK SİSTEMLERİ,İnsan Kaynakları ve İdari İşler Sorumlusu,Tam zamanlı,İstanbul(Avr.)
569,Bilgin Enerji Yatırım Holding A.Ş.,Rüzgar Santrali İşletme Teknisyeni,Tam zamanlı,İzmir +1 il daha
570,TEB - Türk Ekonomi Bankası,İstanbul Kurumsal-Kurumsal Müşteri İliş.Yöneticisi,Tam zamanlı,İstanbul(Avr.)
571,Mondelez International,Category Finance Analyst,Tam zamanlı,İstanbul (Tümü)
572,Doğuş İnşaat ve Ticaret A.Ş.,Bilgi Teknolojileri Uzmanı (Ankara),Tam zamanlı,Ankara
573,Arsan Şirketler Grubu,İnsan Kaynakları Sorumlusu,Tam zamanlı,İstanbul(Asya)
574,Doğuş İnşaat ve Ticaret A.Ş.,Proje Maliyet Kontrol Şefi (Ankara),Tam zamanlı,Ankara
575,Şişecam,Çevre Mühendisi,Tam zamanlı,Mersin
576,Türk Ekonomi Bankası A.Ş.,Burdur Şubesi Bireysel Müşteri İlişkileri Yönt,Tam zamanlı,Burdur
577,Coca-Cola İçecek ŞİMŞEK GIDA,Satış Temsilcisi,Tam zamanlı,Antalya
578,Anadolu Efes,Bölge Satış Raporlama Uzmanı(İzmir),Tam zamanlı,Türkiye
579,Türk Ekonomi Bankası A.Ş.,Zonguldak Kitle Bankacılığı Mobil Satış Temsilcisi,Tam zamanlı,Zonguldak
580,TEB - Türk Ekonomi Bankası,Teb Arval :Muhasebe Yönetici Yardımcısı/Yöneticisi,Tam zamanlı,İstanbul(Avr.)
581,Manpower,Portföy Yöneticisi,Tam zamanlı,İstanbul(Avr.)
582,Manpower,Mağaza Satış Danışmanı,Tam zamanlı,İstanbul(Avr.)
583,Mondelez International,Product Change Manager,Tam zamanlı,Kocaeli
584,Manpower,Mağaza Sorumlusu,Tam zamanlı,İstanbul(Avr.)
585,Türk Ekonomi Bankası A.Ş.,Avrupa 1 Bölgesi Müşteri Hizmetleri Yetkilisi,Tam zamanlı,İstanbul(Avr.)
586,Nurol Holding A.Ş.,Sistem Destek Uzman Yardımcısı,Tam zamanlı,"İstanbul(Avr.),  Ankara"
587,HR LEGAL İNSAN KAYNAKLARI DANIŞMANLIK A.Ş,Adliye Takip Elemanı,Tam zamanlı,Muğla
588,Gediz Elektrik Perakende Satış A.Ş.,İç Kontrol Uzman Yardımcısı,Tam zamanlı,İzmir
589,Siemens,Senior Full Stack Software Developer - Cloud/Edge,Tam zamanlı,İstanbul(Avr.)
590,Siemens,Motor & Generator Service Engineer,Tam zamanlı,Kocaeli
591,TURKISHBANK A.Ş,Masak Uyum Görevlisi (Yönetmen/Yönetici),Tam zamanlı,İstanbul(Avr.)
592,Aydın Aydın Avukatlık Ortaklığı,Ticaret ve Şirketler Hukuku Avukatı,Tam zamanlı,İstanbul(Asya)
593,BNP PARIBAS CARDIF,İş Ortaklıkları Operasyon Yetkilisi (Üretim),Tam zamanlı,İstanbul(Avr.)
594,Pratik Aday Servisi,İnsan Kaynakları Uzmanı,Tam zamanlı,Antalya
595,KOBASTAR ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İnternational Sales Representative,Tam zamanlı,Konya
596,Turkcell Global Bilgi,Mekanik Bakım Teknikeri - Gebze,Tam zamanlı,Kocaeli
597,Elkon Elevatör Konveyör Mak.San. ve Tic. A.Ş.,Elektrik Elektronik Mühendisi,Tam zamanlı,Tekirdağ
598,YILPORT Holding A.Ş.,Internal Control Senior Specialist,Tam zamanlı,İstanbul(Avr.)
599,Total giyim gıda tekstil san. tic. sti.,Merchandiser For Textile Agent,Tam zamanlı,İstanbul(Avr.)
600,İBRAHİM ŞENAY ( HACI İLYAS LOKANTASI- HİLYAS ŞARKÜTERİ- TOPRAK METAL),İç Mimar,Tam zamanlı,Bursa
601,Vogue Hotel Bodrum Supreme,Misafir İlişkileri Görevlisi,Tam zamanlı,Muğla
602,Yakamoz Dış Ticaret,İstanbul Havalimanı Satış Danışmanı,Tam zamanlı,İstanbul (Tümü)
603,Gizli Firma,Kalite Sorumlusu,Tam zamanlı,İstanbul(Avr.)
604,DRONSAN SAVUNMA HAVACILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Mağaza Satış Danışmanı,Tam zamanlı,Ankara
605,ELKON ELEVATÖR KONVEYÖR VE MAKİNA SAN.VE TİC.A.Ş.,Özel Güvenlik Elemanı,Tam zamanlı,Tekirdağ
606,BKM MUTFAK YAPIM VEYAYINCILIK ORGANİZASYON ANONİM ŞİRKETİ,Barmen / Barmaid,Tam zamanlı,İstanbul(Asya)
607,Tat Bakliyat  San.  ve Tic. Aş.,Teknik Müdür,Tam zamanlı,Mersin
608,BARTEK ELEKTRİK SİSTEMLERİ SAN. VE TİC. AŞ.,Proje Mühendisi,Tam zamanlı,İstanbul(Asya)
609,MEDİLİFE BAĞCILAR HASTANESİ,Ebe (Bağcılar),Tam zamanlı,İstanbul(Avr.)
610,ebebek,Takım Lideri / Cevahir Avm,Tam zamanlı,İstanbul(Avr.)
611,ebebek,Bebekolog/Part Satış Danışmanı - Maslak,Part Time,İstanbul(Avr.)
612,Save Enerji Yönetimi ve Danışmanlık Hizmetleri Sa,HVAC Building Automation Systems Site Engineer,Tam zamanlı,İstanbul (Tümü) +4 il daha
613,Safa Tarım A.Ş.,Urfa Bölge Satış Temsilcisi,Tam zamanlı,Şanlıurfa
614,Safa Tarım A.Ş.,Bursa Bölge Satış Temsilcisi,Tam zamanlı,Bursa
615,Dinamo Fuar Hizmetleri,Fuar Satış Uzmanı,Tam zamanlı,İstanbul(Avr.)
616,Gizli Firma,Executive Chef,Tam zamanlı,Kırklareli
617,Ecrou Mağazacılık A.Ş,Mağaza Müdürü (İstanbul Canpark Avm),Tam zamanlı,İstanbul(Asya)
618,WARPIRIS BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ,PHP Developer,Tam zamanlı,"İstanbul(Avr.),  Ankara"
619,IVF Prime A.Ş.,Üretim Asistanı,Tam zamanlı,Ankara
620,ELLIVE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET AŞ,Tıbbi Mümessil,Tam zamanlı,İstanbul (Tümü)
621,Veritas Tekstil Konfeksiyon Pazarlama Sanayi Tica,İhracat Müşteri Temsilcisi,Tam zamanlı,Denizli
622,CALL LINE ANTALYA ÇAĞRI MERKEZİ TİCARET LİMİTED ŞİRKETİ,( Flemenkçe ) Çağrı Merkezi Müşteri Temsilcisi,Tam zamanlı,Antalya
623,Turkcell Global Bilgi,Mekanik Bakım Teknikeri - Gebze,Tam zamanlı,Kocaeli
624,Çelik Motor Ticaret A.Ş.,Kia Ürün Sorumlusu,Tam zamanlı,İstanbul(Asya)
625,Bilgin Enerji Yatırım Holding A.Ş.,Rüzgar Santrali İşletme Teknisyeni,Tam zamanlı,İzmir +1 il daha
626,Doğuş İnşaat ve Ticaret A.Ş.,Bilgi Teknolojileri Uzmanı (Ankara),Tam zamanlı,Ankara
627,Doğuş İnşaat ve Ticaret A.Ş.,Proje Maliyet Kontrol Şefi (Ankara),Tam zamanlı,Ankara
628,Şişecam,Çevre Mühendisi,Tam zamanlı,Mersin
629,Elkon Elevatör Konveyör Mak.San. ve Tic. A.Ş.,Elektrik Elektronik Mühendisi,Tam zamanlı,Tekirdağ
630,HACIBABA PASTANELERİ GIDA SANAYİ VE TİCARET LTD. ŞT,Muhasebe Uzmanı,Tam zamanlı,İstanbul(Avr.)
631,Doğuş Perakende Satış Giyim ve Aksesuar Tic. A.Ş,D Saat - Mağaza Müdürü,Tam zamanlı,İstanbul(Avr.)
632,Zeplin Turizm Taşımacılık Yatırım Ltd. Şti.,Ofis Elemanı,Tam zamanlı,İzmir
633,CEVA Lojistik,Nakliye Tedarik Sorumlusu,Tam zamanlı,İzmir
634,Zeplin Turizm Taşımacılık Yatırım Ltd. Şti.,Hukuk Asistanı,Tam zamanlı,İstanbul (Tümü)
635,Sektöründe Öncü Firma,Silahlı Güvenlik Görevlisi,Tam zamanlı,İstanbul(Asya)
636,Doğuş Perakende Satış Giyim ve Aksesuar Tic. A.Ş,Kiko Milano Espark - Pt Güzellik Danışmanı,Tam zamanlı,Eskişehir
637,Şişecam,Vergi İşlemleri Yetkilisi,Tam zamanlı,İstanbul(Asya)
638,Şişecam,İşletme Mühendisi,Tam zamanlı,Tekirdağ +1 il daha
639,Şişecam,Mekatronik Teknisyeni,Tam zamanlı,Tekirdağ +1 il daha
640,Tergan Deri Ürünleri,Satış Danışmanı - Mall Of İstanbul Avm,Tam zamanlı,İstanbul (Tümü)
641,Zeplin Turizm Taşımacılık Yatırım Ltd. Şti.,Satış Pazarlama Portföy Yöneticisi,Tam zamanlı,"İstanbul(Asya),  İzmir"
642,Doğuş Otomotiv,Yedek Parça Depo Dağıtım Operasyonları Yöneticisi,Tam zamanlı,Kocaeli
643,Şişecam,Mekanik Bakım Onarım Mühendisi,Tam zamanlı,Eskişehir
644,ABB Elektrik Sanayi A.Ş.,HR Business Partner,Tam zamanlı,İstanbul (Tümü)
645,ABB Elektrik Sanayi A.Ş.,Financial Analyst,Tam zamanlı,İstanbul (Tümü)
646,Alshaya Saha,The Body Shop Satış Danışmanı / Akbatı Avm,Tam zamanlı,İstanbul(Avr.)
647,Tam Finans Faktoring A.Ş.,Dinamik Beylikdüzü Şube-Müşteri Temsilcisi,Tam zamanlı,İstanbul(Avr.)
648,KOBASTAR ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İnternational Sales Representative,Tam zamanlı,Konya
649,Pratik Aday Servisi,İnsan Kaynakları Uzmanı,Tam zamanlı,Antalya
650,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Team Lead Quality Operations,Tam zamanlı,İstanbul(Avr.)
651,Dinamo Fuar Hizmetleri,Fuar Satış Uzmanı,Tam zamanlı,İstanbul(Avr.)
652,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Product Engineer,Tam zamanlı,İstanbul(Avr.)
653,VOLT ELEKTRİK MOTOR SAN. VE TİC. A.Ş.(KEMALPAŞA),Planlama Yöneticisi,Tam zamanlı,İzmir
654,Tek Çelik İç ve Dış Tic. İnş. San. A.ş,Makine Mühendisi,Tam zamanlı,İzmir
655,The Gym A Plus,Resepsiyonist,Tam zamanlı,İstanbul(Avr.)
656,Altınyıldız Classics-Beymen Business,Bilgi İşlem Uzman Yardımcısı,Tam zamanlı,İzmir
657,BMC OTOMOTİV SANAYİ VE TİCARET A.Ş.,İdari İşler Uzmanı,Tam zamanlı,İzmir
658,Gizli Firma,Puantör,Tam zamanlı,İstanbul (Tümü)
659,Bakırlar Yapı Malzemeleri İnşaat ve Ticaret Ltd.,Danışma Görevlisi,Tam zamanlı,İstanbul(Asya)
660,Gizli Firma,Kalite Sorumlusu,Tam zamanlı,İstanbul(Avr.)
661,Mengerler Ticaret Türk A.Ş. izmir Şubesi Egemer,Servis Kabul Danışmanı,Tam zamanlı,İzmir
662,BKM MUTFAK YAPIM VEYAYINCILIK ORGANİZASYON ANONİM ŞİRKETİ,Barmen / Barmaid,Tam zamanlı,İstanbul(Asya)
663,AERDIESEL OTOMOTİV YEDEK PARÇA SANAYİ VE TİCARET L,Arge Destek Mühendisi,Tam zamanlı,Konya
664,ebebek,Takım Lideri / Cevahir Avm,Tam zamanlı,İstanbul(Avr.)
665,ebebek,Bebekolog/Part Satış Danışmanı - Maslak,Part Time,İstanbul(Avr.)
666,Medident İstanbul,Çağrı Merkezi Müşteri Temsilcisi,Tam zamanlı,İstanbul (Tümü)
667,ELKON ELEVATÖR KONVEYÖR VE MAKİNA SAN.VE TİC.A.Ş.,Özel Güvenlik Elemanı,Tam zamanlı,Tekirdağ
668,DRONSAN SAVUNMA HAVACILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Mağaza Satış Danışmanı,Tam zamanlı,Ankara
669,MEDİLİFE BAĞCILAR HASTANESİ,Ebe (Bağcılar),Tam zamanlı,İstanbul(Avr.)
670,ebebek,Bebekolog/Satış Danışmanı - Anadolu Yakası,Tam zamanlı,İstanbul(Asya)
671,Safa Tarım A.Ş.,Urfa Bölge Satış Temsilcisi,Tam zamanlı,Şanlıurfa
672,Gizli Firma,Makam Şoförü,Tam zamanlı,İstanbul(Avr.)
673,BARTEK ELEKTRİK SİSTEMLERİ SAN. VE TİC. AŞ.,Proje Mühendisi,Tam zamanlı,İstanbul(Asya)
674,WARPIRIS BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ,PHP Developer,Tam zamanlı,"İstanbul(Avr.),  Ankara"
675,ALVİS TURİZM SEYAHAT OTOM.SAN.VE TİC.LTD.ŞTİ,Web Tasarım ve Grafik Uzmanı,Tam zamanlı,Kayseri
676,Pratik Aday Servisi,Depo Sorumlusu,Tam zamanlı,Ankara
677,Gizli Firma,Executive Chef,Tam zamanlı,Kırklareli
678,Dinamo Fuar Hizmetleri,Fuar Satış Uzmanı,Tam zamanlı,İstanbul(Avr.)
679,Elkon Elevatör Konveyör Mak.San. ve Tic. A.Ş.,Elektrik Elektronik Mühendisi,Tam zamanlı,Tekirdağ
680,NETSPEED İNTERNET ANONİM ŞİRKETİ,Çağrı Merkezi Müşteri Temsilcisi,Tam zamanlı,Denizli
681,Gizli Firma,Satış Uzmanı (Sakarya),Tam zamanlı,Sakarya
682,VOLT ELEKTRİK MOTOR SAN. VE TİC. A.Ş.(KEMALPAŞA),Planlama Yöneticisi,Tam zamanlı,İzmir
683,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Team Lead Quality Operations,Tam zamanlı,İstanbul(Avr.)
684,Sigorta Bilgi ve Gözetim Merkezi,Siber Dayanıklılık Uzmanı / Kıdemli Uzmanı,Tam zamanlı,İstanbul(Asya)
685,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Product Engineer,Tam zamanlı,İstanbul(Avr.)
686,Erdem Sağlık Grubu,Hemşire/Hemşire Yardımcısı,Tam zamanlı,İstanbul(Asya)
687,GAPEL OTOMOTİV SAN.VE TİC.LTD.ŞTİ.,Müşteri İlişkileri Sorumlusu,Tam zamanlı,Şanlıurfa
688,CMC REFRIGERATION İKLİMLENDİRME İMALAT İHRACAT İTHALAT SAN.TİC.LTD.ŞTİ.,İnsan Kaynakları Uzmanı,Tam zamanlı,Sivas
689,Soho House Istanbul,Elektrik Teknisyeni,Tam zamanlı,İstanbul(Avr.)
690,Nidaş Mad.Taş.Makina İth.İhr.Kimya San.Tic.A.Ş,Ön Muhasebe Personeli,Tam zamanlı,Niğde
691,YAZAKİ OTOMOTİV YAN SANAYİ VE TİCARET A.Ş.,Endüstri Mühendisi,Tam zamanlı,Sakarya
692,SANTA FARMA İLAÇ SAN.A.Ş.,AR-GE Farmasötik Teknoloji Geliştirme Yöneticisi,Tam zamanlı,Kocaeli
693,Perfetti Van Melle,Quality Control Engineer,Tam zamanlı,İstanbul(Avr.)
694,LEGRAND ELEKTRİK SANAYİ A.Ş.,Plastik Üretim Mühendisi,Tam zamanlı,Kocaeli
695,ŞEKERBANK T. A.Ş.,Ticari-Kobi-İşletme Bankacılığı Satış Temsilcisi,Tam zamanlı,İstanbul (Tümü)
696,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,Hazır Beton Elektrik Bakım Teknisyeni,Tam zamanlı,İstanbul (Tümü) +3 il daha
697,ENKAL FİLO ARAÇ KİRALAMA HİZMETLERİ ANONİM ŞİRKETİ,Motosiklet Satış Danışmanı,Tam zamanlı,İstanbul(Asya)
698,Sektöründe Lider Firma,Tedarik Planlama Uzmanı,Tam zamanlı,İstanbul(Asya)
699,BURAKCAN KALIP SANAYİ TİC.LTD.ŞTİ.,Dış Ticaret Uzmanı,Tam zamanlı,İstanbul(Avr.)
700,SERKAN İLETİŞİM TÜRK TELEKOM MAĞAZALARI,Bayi Satış Yetkilisi,Tam zamanlı,Konya
701,DORUK SAĞLIK GRUBU,Özel Doruk Nilüfer Hastanesi Restorant Elemanı,Tam zamanlı,Bursa
702,Veritas Tekstil Konfeksiyon Pazarlama Sanayi Tica,İhracat Müşteri Temsilcisi,Tam zamanlı,Denizli
703,Pratik Aday Servisi,Depo Sorumlusu,Tam zamanlı,Ankara
704,Bilgin Enerji Yatırım Holding A.Ş.,Rüzgar Santrali İşletme Teknisyeni,Tam zamanlı,İzmir +1 il daha
705,TEB - Türk Ekonomi Bankası,İstanbul Kurumsal-Kurumsal Müşteri İliş.Yöneticisi,Tam zamanlı,İstanbul(Avr.)
706,Mondelez International,Category Finance Analyst,Tam zamanlı,İstanbul (Tümü)
707,Doğuş İnşaat ve Ticaret A.Ş.,Bilgi Teknolojileri Uzmanı (Ankara),Tam zamanlı,Ankara
708,Arsan Şirketler Grubu,İnsan Kaynakları Sorumlusu,Tam zamanlı,İstanbul(Asya)
709,Doğuş İnşaat ve Ticaret A.Ş.,Proje Maliyet Kontrol Şefi (Ankara),Tam zamanlı,Ankara
710,Şişecam,Çevre Mühendisi,Tam zamanlı,Mersin
711,Türk Ekonomi Bankası A.Ş.,Burdur Şubesi Bireysel Müşteri İlişkileri Yönt,Tam zamanlı,Burdur
712,Coca-Cola İçecek ŞİMŞEK GIDA,Satış Temsilcisi,Tam zamanlı,Antalya
713,Anadolu Efes,Bölge Satış Raporlama Uzmanı(İzmir),Tam zamanlı,Türkiye
714,Türk Ekonomi Bankası A.Ş.,Zonguldak Kitle Bankacılığı Mobil Satış Temsilcisi,Tam zamanlı,Zonguldak
715,TEB - Türk Ekonomi Bankası,Teb Arval :Muhasebe Yönetici Yardımcısı/Yöneticisi,Tam zamanlı,İstanbul(Avr.)
716,Manpower,Portföy Yöneticisi,Tam zamanlı,İstanbul(Avr.)
717,Manpower,Mağaza Satış Danışmanı,Tam zamanlı,İstanbul(Avr.)
718,Mondelez International,Product Change Manager,Tam zamanlı,Kocaeli
719,Manpower,Mağaza Sorumlusu,Tam zamanlı,İstanbul(Avr.)
720,Türk Ekonomi Bankası A.Ş.,Avrupa 1 Bölgesi Müşteri Hizmetleri Yetkilisi,Tam zamanlı,İstanbul(Avr.)
721,Nurol Holding A.Ş.,Sistem Destek Uzman Yardımcısı,Tam zamanlı,"İstanbul(Avr.),  Ankara"
722,HR LEGAL İNSAN KAYNAKLARI DANIŞMANLIK A.Ş,Adliye Takip Elemanı,Tam zamanlı,Muğla
723,Gediz Elektrik Perakende Satış A.Ş.,İç Kontrol Uzman Yardımcısı,Tam zamanlı,İzmir
724,Siemens,Senior Full Stack Software Developer - Cloud/Edge,Tam zamanlı,İstanbul(Avr.)
725,Siemens,Motor & Generator Service Engineer,Tam zamanlı,Kocaeli
726,TURKISHBANK A.Ş,Masak Uyum Görevlisi (Yönetmen/Yönetici),Tam zamanlı,İstanbul(Avr.)
727,Aydın Aydın Avukatlık Ortaklığı,Ticaret ve Şirketler Hukuku Avukatı,Tam zamanlı,İstanbul(Asya)
728,BNP PARIBAS CARDIF,İş Ortaklıkları Operasyon Yetkilisi (Üretim),Tam zamanlı,İstanbul(Avr.)
729,DETA-GEN GENETİK HASTALIKLAR TANI MERKEZİ,Mikrobiyoloji Uzmanı,Tam zamanlı,Kayseri
730,Simurgh Gayrimenkul,Arama Motoru Optimizasyonu (Seo) Uzmanı,Tam zamanlı,Antalya
731,Turkcell Global Bilgi,Mekanik Bakım Teknikeri - Gebze,Tam zamanlı,Kocaeli
732,Elkon Elevatör Konveyör Mak.San. ve Tic. A.Ş.,Elektrik Elektronik Mühendisi,Tam zamanlı,Tekirdağ
733,YILPORT Holding A.Ş.,Internal Control Senior Specialist,Tam zamanlı,İstanbul(Avr.)
734,Total giyim gıda tekstil san. tic. sti.,Merchandiser For Textile Agent,Tam zamanlı,İstanbul(Avr.)
735,İBRAHİM ŞENAY ( HACI İLYAS LOKANTASI- HİLYAS ŞARKÜTERİ- TOPRAK METAL),İç Mimar,Tam zamanlı,Bursa
736,Vogue Hotel Bodrum Supreme,Misafir İlişkileri Görevlisi,Tam zamanlı,Muğla
737,Yakamoz Dış Ticaret,İstanbul Havalimanı Satış Danışmanı,Tam zamanlı,İstanbul (Tümü)
738,Gizli Firma,Kalite Sorumlusu,Tam zamanlı,İstanbul(Avr.)
739,DRONSAN SAVUNMA HAVACILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Mağaza Satış Danışmanı,Tam zamanlı,Ankara
740,ELKON ELEVATÖR KONVEYÖR VE MAKİNA SAN.VE TİC.A.Ş.,Özel Güvenlik Elemanı,Tam zamanlı,Tekirdağ
741,BKM MUTFAK YAPIM VEYAYINCILIK ORGANİZASYON ANONİM ŞİRKETİ,Barmen / Barmaid,Tam zamanlı,İstanbul(Asya)
742,Tat Bakliyat  San.  ve Tic. Aş.,Teknik Müdür,Tam zamanlı,Mersin
743,BARTEK ELEKTRİK SİSTEMLERİ SAN. VE TİC. AŞ.,Proje Mühendisi,Tam zamanlı,İstanbul(Asya)
744,MEDİLİFE BAĞCILAR HASTANESİ,Ebe (Bağcılar),Tam zamanlı,İstanbul(Avr.)
745,ebebek,Takım Lideri / Cevahir Avm,Tam zamanlı,İstanbul(Avr.)
746,ebebek,Bebekolog/Part Satış Danışmanı - Maslak,Part Time,İstanbul(Avr.)
747,Save Enerji Yönetimi ve Danışmanlık Hizmetleri Sa,HVAC Building Automation Systems Site Engineer,Tam zamanlı,İstanbul (Tümü) +4 il daha
748,Safa Tarım A.Ş.,Urfa Bölge Satış Temsilcisi,Tam zamanlı,Şanlıurfa
749,Safa Tarım A.Ş.,Bursa Bölge Satış Temsilcisi,Tam zamanlı,Bursa
750,Dinamo Fuar Hizmetleri,Fuar Satış Uzmanı,Tam zamanlı,İstanbul(Avr.)
751,Gizli Firma,Executive Chef,Tam zamanlı,Kırklareli
752,Ecrou Mağazacılık A.Ş,Mağaza Müdürü (İstanbul Canpark Avm),Tam zamanlı,İstanbul(Asya)
753,WARPIRIS BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ,PHP Developer,Tam zamanlı,"İstanbul(Avr.),  Ankara"
754,IVF Prime A.Ş.,Üretim Asistanı,Tam zamanlı,Ankara
755,ELLIVE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET AŞ,Tıbbi Mümessil,Tam zamanlı,İstanbul (Tümü)
756,KOBASTAR ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İnternational Sales Representative,Tam zamanlı,Konya
757,AssisTT AŞ.,Ankara-İngilizce Müşteri Temsilcisi,Tam zamanlı,Ankara
758,Turkcell Global Bilgi,Mekanik Bakım Teknikeri - Gebze,Tam zamanlı,Kocaeli
759,Çelik Motor Ticaret A.Ş.,Kia Ürün Sorumlusu,Tam zamanlı,İstanbul(Asya)
760,Bilgin Enerji Yatırım Holding A.Ş.,Rüzgar Santrali İşletme Teknisyeni,Tam zamanlı,İzmir +1 il daha
761,Doğuş İnşaat ve Ticaret A.Ş.,Bilgi Teknolojileri Uzmanı (Ankara),Tam zamanlı,Ankara
762,Doğuş İnşaat ve Ticaret A.Ş.,Proje Maliyet Kontrol Şefi (Ankara),Tam zamanlı,Ankara
763,Şişecam,Çevre Mühendisi,Tam zamanlı,Mersin
764,Elkon Elevatör Konveyör Mak.San. ve Tic. A.Ş.,Elektrik Elektronik Mühendisi,Tam zamanlı,Tekirdağ
765,HACIBABA PASTANELERİ GIDA SANAYİ VE TİCARET LTD. ŞT,Muhasebe Uzmanı,Tam zamanlı,İstanbul(Avr.)
766,Doğuş Perakende Satış Giyim ve Aksesuar Tic. A.Ş,D Saat - Mağaza Müdürü,Tam zamanlı,İstanbul(Avr.)
767,Zeplin Turizm Taşımacılık Yatırım Ltd. Şti.,Ofis Elemanı,Tam zamanlı,İzmir
768,CEVA Lojistik,Nakliye Tedarik Sorumlusu,Tam zamanlı,İzmir
769,Zeplin Turizm Taşımacılık Yatırım Ltd. Şti.,Hukuk Asistanı,Tam zamanlı,İstanbul (Tümü)
770,Sektöründe Öncü Firma,Silahlı Güvenlik Görevlisi,Tam zamanlı,İstanbul(Asya)
771,Doğuş Perakende Satış Giyim ve Aksesuar Tic. A.Ş,Kiko Milano Espark - Pt Güzellik Danışmanı,Tam zamanlı,Eskişehir
772,Şişecam,Vergi İşlemleri Yetkilisi,Tam zamanlı,İstanbul(Asya)
773,Şişecam,İşletme Mühendisi,Tam zamanlı,Tekirdağ +1 il daha
774,Şişecam,Mekatronik Teknisyeni,Tam zamanlı,Tekirdağ +1 il daha
775,Tergan Deri Ürünleri,Satış Danışmanı - Mall Of İstanbul Avm,Tam zamanlı,İstanbul (Tümü)
776,Zeplin Turizm Taşımacılık Yatırım Ltd. Şti.,Satış Pazarlama Portföy Yöneticisi,Tam zamanlı,"İstanbul(Asya),  İzmir"
777,Doğuş Otomotiv,Yedek Parça Depo Dağıtım Operasyonları Yöneticisi,Tam zamanlı,Kocaeli
778,Şişecam,Mekanik Bakım Onarım Mühendisi,Tam zamanlı,Eskişehir
779,ABB Elektrik Sanayi A.Ş.,HR Business Partner,Tam zamanlı,İstanbul (Tümü)
780,ABB Elektrik Sanayi A.Ş.,Financial Analyst,Tam zamanlı,İstanbul (Tümü)
781,Alshaya Saha,The Body Shop Satış Danışmanı / Akbatı Avm,Tam zamanlı,İstanbul(Avr.)
782,Tam Finans Faktoring A.Ş.,Dinamik Beylikdüzü Şube-Müşteri Temsilcisi,Tam zamanlı,İstanbul(Avr.)
783,Kadriye Baştürk,Ön Muhasebe Görevlisi,Tam zamanlı,İstanbul(Asya)
784,HTS TEKERLEK SİSTEMLERİ,İnsan Kaynakları ve İdari İşler Sorumlusu,Tam zamanlı,İstanbul(Avr.)
785,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Team Lead Quality Operations,Tam zamanlı,İstanbul(Avr.)
786,Dinamo Fuar Hizmetleri,Fuar Satış Uzmanı,Tam zamanlı,İstanbul(Avr.)
787,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Product Engineer,Tam zamanlı,İstanbul(Avr.)
788,VOLT ELEKTRİK MOTOR SAN. VE TİC. A.Ş.(KEMALPAŞA),Planlama Yöneticisi,Tam zamanlı,İzmir
789,Tek Çelik İç ve Dış Tic. İnş. San. A.ş,Makine Mühendisi,Tam zamanlı,İzmir
790,The Gym A Plus,Resepsiyonist,Tam zamanlı,İstanbul(Avr.)
791,Altınyıldız Classics-Beymen Business,Bilgi İşlem Uzman Yardımcısı,Tam zamanlı,İzmir
792,BMC OTOMOTİV SANAYİ VE TİCARET A.Ş.,İdari İşler Uzmanı,Tam zamanlı,İzmir
793,Gizli Firma,Puantör,Tam zamanlı,İstanbul (Tümü)
794,Bakırlar Yapı Malzemeleri İnşaat ve Ticaret Ltd.,Danışma Görevlisi,Tam zamanlı,İstanbul(Asya)
795,Gizli Firma,Kalite Sorumlusu,Tam zamanlı,İstanbul(Avr.)
