,company name,position,worktime,City
52,BARTEK ELEKTRİK SİSTEMLERİ SAN. VE TİC. AŞ.,Proje Mühendisi,Tam zamanlı,İstanbul(Asya)
53,WARPIRIS BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ,PHP Developer,Tam zamanlı,"İstanbul(Avr.),  Ankara"
54,Open English,Müşteri Temsilcisi,Tam zamanlı,İstanbul(Asya)
55,Pratik Aday Servisi,Proses Otomasyon Mühendisi,Tam zamanlı,İstanbul(Asya)
56,Turkcell Global Bilgi,Mekanik Bakım Teknikeri - Gebze,Tam zamanlı,Kocaeli
57,Elkon Elevatör Konveyör Mak.San. ve Tic. A.Ş.,Elektrik Elektronik Mühendisi,Tam zamanlı,Tekirdağ
58,YILPORT Holding A.Ş.,Internal Control Senior Specialist,Tam zamanlı,İstanbul(Avr.)
59,Total giyim gıda tekstil san. tic. sti.,Merchandiser For Textile Agent,Tam zamanlı,İstanbul(Avr.)
60,İBRAHİM ŞENAY ( HACI İLYAS LOKANTASI- HİLYAS ŞARKÜTERİ- TOPRAK METAL),İç Mimar,Tam zamanlı,Bursa
61,Vogue Hotel Bodrum Supreme,Misafir İlişkileri Görevlisi,Tam zamanlı,Muğla
62,Yakamoz Dış Ticaret,İstanbul Havalimanı Satış Danışmanı,Tam zamanlı,İstanbul (Tümü)
63,Gizli Firma,Kalite Sorumlusu,Tam zamanlı,İstanbul(Avr.)
64,DRONSAN SAVUNMA HAVACILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Mağaza Satış Danışmanı,Tam zamanlı,Ankara
65,ELKON ELEVATÖR KONVEYÖR VE MAKİNA SAN.VE TİC.A.Ş.,Özel Güvenlik Elemanı,Tam zamanlı,Tekirdağ
66,BKM MUTFAK YAPIM VEYAYINCILIK ORGANİZASYON ANONİM ŞİRKETİ,Barmen / Barmaid,Tam zamanlı,İstanbul(Asya)
67,Tat Bakliyat  San.  ve Tic. Aş.,Teknik Müdür,Tam zamanlı,Mersin
68,BARTEK ELEKTRİK SİSTEMLERİ SAN. VE TİC. AŞ.,Proje Mühendisi,Tam zamanlı,İstanbul(Asya)
69,MEDİLİFE BAĞCILAR HASTANESİ,Ebe (Bağcılar),Tam zamanlı,İstanbul(Avr.)
70,ebebek,Takım Lideri / Cevahir Avm,Tam zamanlı,İstanbul(Avr.)
71,ebebek,Bebekolog/Part Satış Danışmanı - Maslak,Part Time,İstanbul(Avr.)
72,Save Enerji Yönetimi ve Danışmanlık Hizmetleri Sa,HVAC Building Automation Systems Site Engineer,Tam zamanlı,İstanbul (Tümü) +4 il daha
73,Safa Tarım A.Ş.,Urfa Bölge Satış Temsilcisi,Tam zamanlı,Şanlıurfa
74,Safa Tarım A.Ş.,Bursa Bölge Satış Temsilcisi,Tam zamanlı,Bursa
75,Dinamo Fuar Hizmetleri,Fuar Satış Uzmanı,Tam zamanlı,İstanbul(Avr.)
76,Gizli Firma,Executive Chef,Tam zamanlı,Kırklareli
77,Ecrou Mağazacılık A.Ş,Mağaza Müdürü (İstanbul Canpark Avm),Tam zamanlı,İstanbul(Asya)
78,WARPIRIS BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ,PHP Developer,Tam zamanlı,"İstanbul(Avr.),  Ankara"
79,IVF Prime A.Ş.,Üretim Asistanı,Tam zamanlı,Ankara
80,ELLIVE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET AŞ,Tıbbi Mümessil,Tam zamanlı,İstanbul (Tümü)
81,Open English,Müşteri Temsilcisi,Tam zamanlı,İstanbul(Asya)
82,Pratik Aday Servisi,Depo Sorumlusu,Tam zamanlı,Ankara
83,Turkcell Global Bilgi,Mekanik Bakım Teknikeri - Gebze,Tam zamanlı,Kocaeli
84,Çelik Motor Ticaret A.Ş.,Kia Ürün Sorumlusu,Tam zamanlı,İstanbul(Asya)
85,Bilgin Enerji Yatırım Holding A.Ş.,Rüzgar Santrali İşletme Teknisyeni,Tam zamanlı,İzmir +1 il daha
